title,company,salary,location,skills,job link
tech lead – webar & ai research,flippar,"₹ 2,40,000",bangalore,"html, javascript, node.js, python, react, informal dress code, 5 days a week",https://internshala.com/job/detail/tech-lead--webar-ai-research-job-in-bangalore-at-flippar1755859567
sales engineer (south),senso vision system,"₹ 2,80,000 - 3,00,000",bangalore,"effective communication, english proficiency (spoken), hindi proficiency (spoken), kannada proficiency (spoken), tamil proficiency (spoken), free snacks & beverages, health insurance",https://internshala.com/job/detail/sales-engineer-south-job-in-bangalore-at-senso-vision-system1755853476
backend developer,sharedpro,"₹ 3,00,000 - 6,00,000",vadodara,"python, informal dress code, 5 days a week, free snacks & beverages, health insurance",https://internshala.com/job/detail/backend-developer-job-in-vadodara-at-sharedpro1754459360
ai automation operations specialist,canadamentors,"₹ 2,00,000 - 4,00,000",work from home,"artificial intelligence, javascript, python, 5 days a week",https://internshala.com/job/detail/remote-ai-automation-operations-specialist-job-at-canadamentors1755841114
ai and robotics trainer,stempedia,"₹ 2,50,000 - 3,84,000","ahmedabad, delhi, bhopal                                                        (hybrid)","google suite (g suite), ms-office, online teaching, python, robotics, teaching, informal dress code, health insurance",https://internshala.com/job/detail/ai-and-robotics-trainer-job-in-multiple-locations-at-stempedia1755601304
ai and robotics trainer,stempedia,"₹ 2,84,000 - 4,20,000","bangalore, hyderabad","google suite (g suite), ms-office, online teaching, python, robotics, teaching, informal dress code, health insurance",https://internshala.com/job/detail/fresher-ai-and-robotics-trainer-job-in-multiple-locations-at-stempedia1755685052
junior product manager,edapt,"₹ 3,00,000 - 5,00,000","kozhikode, kerala estate, perinthalmanna, mallappally","automation, generative ai tools, mentorship, mobile application development, prompt engineering, self-learning, teaching, team management, time management, web development",https://internshala.com/job/detail/fresher-junior-product-manager-job-in-multiple-locations-at-edapt1752552482
machine learning associate,innovate solutions,"₹ 3,50,000 - 4,00,000",work from home,"artificial intelligence, data analytics, data science, deep learning, machine learning, natural language processing (nlp), python, r programming, 5 days a week, health insurance, life insurance",https://internshala.com/job/detail/fresher-remote-machine-learning-associate-job-at-innovate-solutions1755862654
robotics teacher,pnt robotics & automation solutions llp,"₹ 2,00,000 - 3,00,000",mumbai,"arduino, internet of things (iot), machine learning, robotics",https://internshala.com/job/detail/robotics-teacher-job-in-mumbai-at-pnt-robotics-automation-solutions-llp1755848794
python development/artificial intelligence,aaptatt,"₹ 2,16,000 - 2,40,000",work from home,"apis, docker, fastapi, flask, git, machine learning, python, rest api, 5 days a week, health insurance",https://internshala.com/job/detail/fresher-remote-python-development-artificial-intelligence-job-at-aaptatt1755848014
web developer,psb growth venture,"₹ 2,00,000 - 2,50,000",work from home,"artificial intelligence, bootstrap, express.js, html, mern, mongodb, next.js, node.js",https://internshala.com/job/detail/remote-web-developer-job-at-psb-growth-venture1755697417
generative ai & agentic ai engineer,bizlem,"₹ 2,00,000 - 2,50,000",navi mumbai,"artificial intelligence markup language (aiml), gemini, langchain, machine learning, python, pytorch",https://internshala.com/job/detail/fresher-generative-ai-agentic-ai-engineer-job-in-navi-mumbai-at-bizlem1755690450
full stack developer (ai & llm projects),gatha chawla,"₹ 3,30,000 - 5,40,000",work from home,"figma, javascript, langchain, llm evaluation, llmops, mysql, node.js, python, react, sql, 5 days a week",https://internshala.com/job/detail/remote-part-time-full-stack-developer-ai-llm-projects-job-at-gatha-chawla1755689553
data scientist,festeve,"₹ 2,00,000 - 7,00,000",hyderabad,"artificial intelligence, data analytics, data science, deep learning, machine learning, natural language processing (nlp), python, sql, informal dress code, 5 days a week, free snacks & beverages",https://internshala.com/job/detail/data-scientist-job-in-hyderabad-at-festeve1755683166
ceo,bharat switch private limited,"₹ 6,60,000 - 12,00,000",vijayawada,"computer skills, interpersonal skills",https://internshala.com/job/detail/ceo-job-in-vijayawada-at-bharat-switch-private-limited1755673537
artificial intelligence (ai) specialist,artificia intellec pvt ltd,"₹ 3,50,000 - 7,00,000",vadodara,"artificial intelligence, machine learning, natural language processing (nlp), cab/transportation facility",https://internshala.com/job/detail/artificial-intelligence-ai-specialist-job-in-vadodara-at-artificia-intellec-pvt-ltd1755673193
python developer,mvg digital consulting private limited,"₹ 2,10,000 - 3,20,000",chennai,"css, django, flask, html, javascript, machine learning, python, rest api, 5 days a week",https://internshala.com/job/detail/python-developer-job-in-chennai-at-mvg-digital-consulting-private-limited1755671435
business development specialist,sankhadeep das,"₹ 3,20,000 - 8,00,000",work from home,"artificial intelligence, b2b sales, client relationship management (crm), customer acquisition, effective communication, email marketing, english proficiency (spoken), english proficiency (written), lead generation, machine learning, machine learning operations (mlops), marketing strategy, market research, negotiations, presentation skills, software development life cycle (sdlc), web development, 5 days a week, health insurance, life insurance",https://internshala.com/job/detail/fresher-remote-business-development-specialist-job-at-sankhadeep-das1755600058
gen ai qa & prompt engineer (saas b2b),troopr,"₹ 5,00,000 - 8,00,000",work from home,"generative ai tools, prompt engineering, quality assurance/quality control (qa/qc), 5 days a week",https://internshala.com/job/detail/remote-gen-ai-qa-prompt-engineer-saas-b2b-job-at-troopr1755586175
python full stack developer,megaminds it services,"₹ 2,00,000 - 2,50,000",hyderabad,"big data analytics, computer vision, data analysis, data analytics, data science, data structures, deep learning, english proficiency (spoken), english proficiency (written), github, machine learning, natural language processing (nlp), negotiation, neural networks, problem solving, python, research and analytics, rest api, tableau",https://internshala.com/job/detail/fresher-python-full-stack-developer-job-in-hyderabad-at-megaminds-it-services1755583830
artificial intelligence (ai) associate,mypromovidoes,"₹ 2,00,000 - 2,20,000",coimbatore,"artificial intelligence, data science, data structures, deep learning, machine learning, natural language processing (nlp), neural networks, python",https://internshala.com/job/detail/fresher-artificial-intelligence-ai-associate-job-in-coimbatore-at-mypromovidoes1755581653
software engineer & problem solver with n8n skills,ppr capital,"₹ 4,00,000",work from home,python,https://internshala.com/job/detail/fresher-remote-full-time-software-engineer-problem-solver-with-n8n-skills-job-at-ppr-capital1755520039
software developer,primesoft inc,"₹ 3,00,000 - 4,00,000",chennai,"artificial intelligence, data science, machine learning, python libraries, 5 days a week, free snacks & beverages, health insurance",https://internshala.com/job/detail/fresher-software-developer-job-in-chennai-at-primesoft-inc1755516282
junior data scientist,webilius technologies private limited,"₹ 2,00,000 - 2,10,000",noida,"artificial intelligence, data science, deep learning, machine learning, natural language processing (nlp), python, 5 days a week",https://internshala.com/job/detail/junior-data-scientist-job-in-noida-at-webilius-technologies-private-limited1755514348
software engineer ii (full-stack),z naturals,"₹ 20,00,000 - 30,00,000",bangalore                                                        (hybrid),"amazon web services (aws), node.js, react, tailwind css, typescript, informal dress code, 5 days a week, free snacks & beverages",https://internshala.com/job/detail/software-engineer-ii-full-stack-job-in-bangalore-at-z-naturals1755506891
software developer,3edge solutions,"₹ 3,00,000 - 4,00,000",chennai,"artificial intelligence, data science, machine learning, 5 days a week, free snacks & beverages, health insurance",https://internshala.com/job/detail/fresher-software-developer-job-in-chennai-at-3edge-solutions1755499477
artificial intelligence (ai) trainee,hrlytics,"₹ 3,00,000 - 4,00,000",bangalore,"data structures, python",https://internshala.com/job/detail/fresher-artificial-intelligence-ai-trainee-job-in-bangalore-at-kayal-vizhi1755499472
computer vision manager,ecofreshbasket trade private limited,"₹ 4,00,000 - 80,00,000",work from home,"computer vision, deep learning, javascript, machine learning, opencv, 5 days a week",https://internshala.com/job/detail/remote-computer-vision-manager-job-at-ecofreshbasket-trade-private-limited1755496675
